编号;活动类型;活动名称;起始时间;结束时间;活动参数;奖励参数1;奖励物品列表1;奖励参数2;奖励物品列表2;奖励参数3;奖励物品列表3;奖励参数4;奖励物品列表4;奖励参数5;奖励物品列表5;奖励参数6;奖励物品列表6;奖励参数7;奖励物品列表7;奖励参数8;奖励物品列表8;奖励参数9;奖励物品列表9;奖励参数10;奖励物品列表10;奖励参数11;奖励物品列表11
id;activity_type;activity_name;start_time;end_time;activity_param1;reward_condition1;reward_item1;reward_condition2;reward_item2;reward_condition3;reward_item3;reward_condition4;reward_item4;reward_condition5;reward_item5;reward_condition6;reward_item6;reward_condition7;reward_item7;reward_condition8;reward_item8;reward_condition9;reward_item9;reward_condition10;reward_item10;reward_condition11;reward_item11
1;1;累计充值;2017/08/22 00:00:00;2017/08/22 23:59:59;0;6;100000:2000,20003:1;30;453:1,20003:4;60;453:1,5:1,20003:5;128;453:1,5:1,20003:8;188;453:1,4:1,20305:1;288;456:1,4:1,20305:1;388;456:1,4:1,20305:1;648;456:1,4:1,20305:1;988;459:1,6:1,20305:1;1588;459:2,6:1,20305:2;2888;459:2,6:1,20305:4
2;1;累计充值;2017/08/23 00:00:00;2017/08/23 23:59:59;0;6;100000:2000,20209:10;30;452:1,20209:40;60;452:1,5:1,20209:50;128;452:1,5:1,20209:80;188;452:1,4:1,20002:1;288;455:1,4:1,20002:1;388;455:1,4:1,20002:1;648;455:1,4:1,20002:1;988;458:1,6:1,20002:1;1588;458:2,6:1,20002:2;2888;458:2,6:1,20002:4
3;1;累计充值;2017/08/24 00:00:00;2017/08/24 23:59:59;0;6;100000:2000,20108:1;30;451:1,20108:4;60;451:1,5:1,20108:5;128;451:1,5:1,20108:8;188;451:1,4:1,20102:1;288;454:1,4:1,20102:1;388;454:1,4:1,20102:1;648;454:1,4:1,20102:1;988;457:1,6:1,20102:1;1588;457:2,6:1,20102:2;2888;457:2,6:1,20102:4
4;1;累计充值;2017/08/25 00:00:00;2017/08/25 23:59:59;0;6;100000:2000,20303:1;30;451:1,20303:4;60;451:1,5:1,20303:5;128;451:1,5:1,20303:8;188;451:1,4:1,20401:1;288;454:1,4:1,20401:1;388;454:1,4:1,20401:1;648;454:1,4:1,20401:1;988;457:1,6:1,20401:1;1588;457:2,6:1,20401:2;2888;457:2,6:1,20401:4
5;1;累计充值;2017/08/26 00:00:00;2017/08/26 23:59:59;0;6;100000:2000,20208:1;30;453:1,20208:4;60;453:1,5:1,20208:5;128;453:1,5:1,20208:8;188;453:1,4:1,20001:1;288;456:1,4:1,20001:1;388;456:1,4:1,20001:1;648;456:1,4:1,20001:1;988;459:1,6:1,20001:1;1588;459:2,6:1,20001:2;2888;459:2,6:1,20001:4
6;1;累计充值;2017/08/27 00:00:00;2017/08/27 23:59:59;0;6;100000:2000,20204:10;30;452:1,20204:40;60;452:1,5:1,20204:50;128;452:1,5:1,20204:80;188;452:1,4:1,20310:1;288;455:1,4:1,20310:1;388;455:1,4:1,20310:1;648;455:1,4:1,20310:1;988;458:1,6:1,20310:1;1588;458:2,6:1,20310:2;2888;458:2,6:1,20310:4
7;1;累计充值;2017/08/28 00:00:00;2017/08/28 23:59:59;0;6;100000:2000,20109:10;30;452:1,20109:40;60;452:1,5:1,20109:50;128;452:1,5:1,20109:80;188;452:1,4:1,20305:1;288;455:1,4:1,20305:1;388;455:1,4:1,20305:1;648;455:1,4:1,20305:1;988;458:1,6:1,20305:1;1588;458:2,6:1,20305:2;2888;458:2,6:1,20305:4
8;1;累计充值;2017/08/29 00:00:00;2017/08/29 23:59:59;0;6;100000:2000,20306:10;30;452:1,20306:40;60;452:1,5:1,20306:50;128;452:1,5:1,20306:80;188;452:1,4:1,20002:1;288;455:1,4:1,20002:1;388;455:1,4:1,20002:1;648;455:1,4:1,20002:1;988;458:1,6:1,20002:1;1588;458:2,6:1,20002:2;2888;458:2,6:1,20002:4
9;1;累计充值;2017/08/30 00:00:00;2017/08/30 23:59:59;0;6;100000:2000,20103:1;30;451:1,20103:4;60;451:1,5:1,20103:5;128;451:1,5:1,20103:8;188;451:1,4:1,20102:1;288;454:1,4:1,20102:1;388;454:1,4:1,20102:1;648;454:1,4:1,20102:1;988;457:1,6:1,20102:1;1588;457:2,6:1,20102:2;2888;457:2,6:1,20102:4
10;1;累计充值;2017/08/31 00:00:00;2017/08/31 23:59:59;0;6;100000:2000,20104:1;30;451:1,20104:4;60;451:1,5:1,20104:5;128;451:1,5:1,20104:8;188;451:1,4:1,20401:1;288;454:1,4:1,20401:1;388;454:1,4:1,20401:1;648;454:1,4:1,20401:1;988;457:1,6:1,20401:1;1588;457:2,6:1,20401:2;2888;457:2,6:1,20401:4
11;1;累计充值;2017/09/01 00:00:00;2017/09/01 23:59:59;0;6;100000:2000,20009:1;30;451:1,20009:4;60;451:1,5:1,20009:5;128;451:1,5:1,20009:8;188;451:1,4:1,20001:1;288;454:1,4:1,20001:1;388;454:1,4:1,20001:1;648;454:1,4:1,20001:1;988;457:1,6:1,20001:1;1588;457:2,6:1,20001:2;2888;457:2,6:1,20001:4
12;1;累计充值;2017/09/02 00:00:00;2017/09/02 23:59:59;0;6;100000:2000,20308:1;30;451:1,20308:4;60;451:1,5:1,20308:5;128;451:1,5:1,20308:8;188;451:1,4:1,20310:1;288;454:1,4:1,20310:1;388;454:1,4:1,20310:1;648;454:1,4:1,20310:1;988;457:1,6:1,20310:1;1588;457:2,6:1,20310:2;2888;457:2,6:1,20310:4
13;1;累计充值;2017/09/03 00:00:00;2017/09/03 23:59:59;0;6;100000:2000,20003:1;30;453:1,20003:4;60;453:1,5:1,20003:5;128;453:1,5:1,20003:8;188;453:1,4:1,20305:1;288;456:1,4:1,20305:1;388;456:1,4:1,20305:1;648;456:1,4:1,20305:1;988;459:1,6:1,20305:1;1588;459:2,6:1,20305:2;2888;459:2,6:1,20305:4
14;2;每日充值;2017/08/20 00:00:00;2017/08/22 23:59:59;6;1;100001:80,20009:2;2;100001:160,20308:2;3;100001:240,20003:2;;;;;;;;;;;;;;;;
15;2;每日充值;2017/08/23 00:00:00;2017/08/25 23:59:59;6;1;100001:80,20209:10;2;100001:160,20108:2;3;100001:240,20303:2;;;;;;;;;;;;;;;;
16;2;每日充值;2017/08/26 00:00:00;2017/08/28 23:59:59;6;1;100001:80,20208:2;2;100001:160,20204:10;3;100001:240,20109:10;;;;;;;;;;;;;;;;
17;2;每日充值;2017/08/29 00:00:00;2017/08/31 23:59:59;6;1;100001:80,20306:10;2;100001:160,20103:2;3;100001:240,20104:2;;;;;;;;;;;;;;;;
18;2;每日充值;2017/09/01 00:00:00;2017/09/03 23:59:59;6;1;100001:80,20009:2;2;100001:160,20308:2;3;100001:240,20003:2;;;;;;;;;;;;;;;;
19;4;单笔充值活动;2017/08/22 00:00:00;2017/08/22 23:59:59;0;30;100001:500,20003:1;68;100001:1200,20003:3;128;100001:2500,5:1,20003:6;328;100001:6500,6:1,20003:20;648;100001:14000,6:1,20305:1,20003:50;;;;;;;;;;;;
20;4;单笔充值活动;2017/08/23 00:00:00;2017/08/23 23:59:59;0;30;100001:500,20209:10;68;100001:1200,20209:30;128;100001:2500,5:1,20209:60;328;100001:6500,6:1,20209:200;648;100001:14000,6:1,20002:1,20209:500;;;;;;;;;;;;
21;4;单笔充值活动;2017/08/24 00:00:00;2017/08/24 23:59:59;0;30;100001:500,20108:1;68;100001:1200,20108:3;128;100001:2500,5:1,20108:6;328;100001:6500,6:1,20108:20;648;100001:14000,6:1,20102:1,20108:50;;;;;;;;;;;;
22;4;单笔充值活动;2017/08/25 00:00:00;2017/08/25 23:59:59;0;30;100001:500,20303:1;68;100001:1200,20303:3;128;100001:2500,5:1,20303:6;328;100001:6500,6:1,20303:20;648;100001:14000,6:1,20401:1,20303:50;;;;;;;;;;;;
23;4;单笔充值活动;2017/08/26 00:00:00;2017/08/26 23:59:59;0;30;100001:500,20208:1;68;100001:1200,20208:3;128;100001:2500,5:1,20208:6;328;100001:6500,6:1,20208:20;648;100001:14000,6:1,20001:1,20208:50;;;;;;;;;;;;
24;4;单笔充值活动;2017/08/27 00:00:00;2017/08/27 23:59:59;0;30;100001:500,20204:10;68;100001:1200,20204:30;128;100001:2500,5:1,20204:60;328;100001:6500,6:1,20204:200;648;100001:14000,6:1,20310:1,20204:500;;;;;;;;;;;;
25;4;单笔充值活动;2017/08/28 00:00:00;2017/08/28 23:59:59;0;30;100001:500,20109:10;68;100001:1200,20109:30;128;100001:2500,5:1,20109:60;328;100001:6500,6:1,20109:200;648;100001:14000,6:1,20305:1,20109:500;;;;;;;;;;;;
26;4;单笔充值活动;2017/08/29 00:00:00;2017/08/29 23:59:59;0;30;100001:500,20306:10;68;100001:1200,20306:30;128;100001:2500,5:1,20306:60;328;100001:6500,6:1,20306:200;648;100001:14000,6:1,20002:1,20306:500;;;;;;;;;;;;
27;4;单笔充值活动;2017/08/30 00:00:00;2017/08/30 23:59:59;0;30;100001:500,20103:1;68;100001:1200,20103:3;128;100001:2500,5:1,20103:6;328;100001:6500,6:1,20103:20;648;100001:14000,6:1,20102:1,20103:50;;;;;;;;;;;;
28;4;单笔充值活动;2017/08/31 00:00:00;2017/08/31 23:59:59;0;30;100001:500,20104:1;68;100001:1200,20104:3;128;100001:2500,5:1,20104:6;328;100001:6500,6:1,20104:20;648;100001:14000,6:1,20401:1,20104:50;;;;;;;;;;;;
29;4;单笔充值活动;2017/09/01 00:00:00;2017/09/01 23:59:59;0;30;100001:500,20009:1;68;100001:1200,20009:3;128;100001:2500,5:1,20009:6;328;100001:6500,6:1,20009:20;648;100001:14000,6:1,20001:1,20009:50;;;;;;;;;;;;
30;4;单笔充值活动;2017/09/02 00:00:00;2017/09/02 23:59:59;0;30;100001:500,20308:1;68;100001:1200,20308:3;128;100001:2500,5:1,20308:6;328;100001:6500,6:1,20308:20;648;100001:14000,6:1,20310:1,20308:50;;;;;;;;;;;;
31;4;单笔充值活动;2017/09/03 00:00:00;2017/09/03 23:59:59;0;30;100001:500,20003:1;68;100001:1200,20003:3;128;100001:2500,5:1,20003:6;328;100001:6500,6:1,20003:20;648;100001:14000,6:1,20305:1,20003:50;;;;;;;;;;;;
32;3;奖杯充值活动;2017/01/01 00:00:00;2017/05/31 23:59:59;0;200,6;504:1,100000:1000,100001:60,20309:1;400,30;510:1,100000:5000,100001:300,20010:1;800,68;517:1,100000:5000,100001:680,20208:1;1100,68;523:1,100000:5000,100001:680,20104:1;1400128;529:1,100000:20000,100001:1280,20202:1;1700,328;535:1,100000:50000,100001:3280,20401:1;2000,648;541:1,100000:50000,100001:6480,20401:3;;;;;;;;
33;5;限时充值活动;2017/08/22 00:00:00;2017/08/22 23:59:59;0;0,0,6;100001:80,450:1,20003:1;1,0,30;100001:500,453:1,20003:2;60,0,68;100001:1200,5:1,20003:5;189,0,128;6:1;389,0,328;20305:1;649,0,648;6:1,20305:1;;;;;;;;;;
34;5;限时充值活动;2017/08/23 00:00:00;2017/08/23 23:59:59;0;0,0,6;100001:80,450:1,20209:10;1,0,30;100001:500,452:1,20209:20;60,0,68;100001:1200,5:1,20209:50;189,0,128;6:1;389,0,328;20002:1;649,0,648;6:1,20002:1;;;;;;;;;;
35;5;限时充值活动;2017/08/24 00:00:00;2017/08/24 23:59:59;0;0,0,6;100001:80,450:1,20108:1;1,0,30;100001:500,453:1,20108:2;60,0,68;100001:1200,5:1,20108:5;189,0,128;6:1;389,0,328;20102:1;649,0,648;6:1,20102:1;;;;;;;;;;
36;5;限时充值活动;2017/08/25 00:00:00;2017/08/25 23:59:59;0;0,0,6;100001:80,450:1,20303:1;1,0,30;100001:500,453:1,20303:2;60,0,68;100001:1200,5:1,20303:5;189,0,128;6:1;389,0,328;20401:1;649,0,648;6:1,20401:1;;;;;;;;;;
37;5;限时充值活动;2017/08/26 00:00:00;2017/08/26 23:59:59;0;0,0,6;100001:80,450:1,20208:1;1,0,30;100001:500,453:1,20208:2;60,0,68;100001:1200,5:1,20208:5;189,0,128;6:1;389,0,328;20001:1;649,0,648;6:1,20001:1;;;;;;;;;;
38;5;限时充值活动;2017/08/27 00:00:00;2017/08/27 23:59:59;0;0,0,6;100001:80,450:1,20204:10;1,0,30;100001:500,452:1,20204:20;60,0,68;100001:1200,5:1,20204:50;189,0,128;6:1;389,0,328;20310:1;649,0,648;6:1,20310:1;;;;;;;;;;
39;5;限时充值活动;2017/08/28 00:00:00;2017/08/28 23:59:59;0;0,0,6;100001:80,450:1,20109:10;1,0,30;100001:500,452:1,20109:20;60,0,68;100001:1200,5:1,20109:50;189,0,128;6:1;389,0,328;20305:1;649,0,648;6:1,20305:1;;;;;;;;;;
40;5;限时充值活动;2017/08/29 00:00:00;2017/08/29 23:59:59;0;0,0,6;100001:80,450:1,20306:10;1,0,30;100001:500,452:1,20306:20;60,0,68;100001:1200,5:1,20306:50;189,0,128;6:1;389,0,328;20002:1;649,0,648;6:1,20002:1;;;;;;;;;;
41;5;限时充值活动;2017/08/30 00:00:00;2017/08/30 23:59:59;0;0,0,6;100001:80,450:1,20103:1;1,0,30;100001:500,453:1,20103:2;60,0,68;100001:1200,5:1,20103:5;189,0,128;6:1;389,0,328;20102:1;649,0,648;6:1,20102:1;;;;;;;;;;
42;5;限时充值活动;2017/08/31 00:00:00;2017/08/31 23:59:59;0;0,0,6;100001:80,450:1,20104:1;1,0,30;100001:500,453:1,20104:2;60,0,68;100001:1200,5:1,20104:5;189,0,128;6:1;389,0,328;20401:1;649,0,648;6:1,20401:1;;;;;;;;;;
43;5;限时充值活动;2017/09/01 00:00:00;2017/09/01 23:59:59;0;0,0,6;100001:80,450:1,20009:1;1,0,30;100001:500,453:1,20009:2;60,0,68;100001:1200,5:1,20009:5;189,0,128;6:1;389,0,328;20001:1;649,0,648;6:1,20001:1;;;;;;;;;;
44;5;限时充值活动;2017/09/02 00:00:00;2017/09/02 23:59:59;0;0,0,6;100001:80,450:1,20308:1;1,0,30;100001:500,453:1,20308:2;60,0,68;100001:1200,5:1,20308:5;189,0,128;6:1;389,0,328;20310:1;649,0,648;6:1,20310:1;;;;;;;;;;
45;5;限时充值活动;2017/09/03 00:00:00;2017/09/03 23:59:59;0;0,0,6;100001:80,450:1,20003:1;1,0,30;100001:500,453:1,20003:2;60,0,68;100001:1200,5:1,20003:5;189,0,128;6:1;389,0,328;20305:1;649,0,648;6:1,20305:1;;;;;;;;;;
501;6;宝箱折扣活动;2017/06/12 00:00:00;2017/06/20 23:59:00;7000;;;;;;;;;;;;;;;;;;;;;;
502;7;符文折扣活动;2017/01/01 00:00:00;2017/01/30 23:59:00;7000;;;;;;;;;;;;;;;;;;;;;;
503;11;英雄争霸;2000/01/01 00:00:00;2000/01/01 23:00:00;1,0;;;;;;;;;;;;;;;;;;;;;;
504;11;英雄争霸;2000/01/01 00:00:00;2000/01/01 23:00:00;2,0;;;;;;;;;;;;;;;;;;;;;;
505;11;英雄争霸;2000/01/01 00:00:00;2000/01/01 23:00:00;3,0;;;;;;;;;;;;;;;;;;;;;;
506;11;英雄争霸;2000/01/01 00:00:00;2000/01/01 23:00:00;4,0;;;;;;;;;;;;;;;;;;;;;;
507;11;英雄争霸;2000/01/01 00:00:00;2000/01/01 23:00:00;5,0;;;;;;;;;;;;;;;;;;;;;;
508;11;英雄争霸;2000/01/01 00:00:00;2000/01/01 23:00:00;6,0;;;;;;;;;;;;;;;;;;;;;;
509;11;英雄争霸;2000/01/01 00:00:00;2000/01/01 23:00:00;7,0;;;;;;;;;;;;;;;;;;;;;;
515;11;英雄争霸;2000/01/01 19:00:00;2000/01/01 21:00:00;1,0;;;;;;;;;;;;;;;;;;;;;;
516;11;英雄争霸;2000/01/01 19:00:00;2000/01/01 21:00:00;2,0;;;;;;;;;;;;;;;;;;;;;;
517;11;英雄争霸;2000/01/01 19:00:00;2000/01/01 21:00:00;3,0;;;;;;;;;;;;;;;;;;;;;;
518;11;英雄争霸;2000/01/01 19:00:00;2000/01/01 21:00:00;4,0;;;;;;;;;;;;;;;;;;;;;;
519;11;英雄争霸;2000/01/01 19:00:00;2000/01/01 21:00:00;5,0;;;;;;;;;;;;;;;;;;;;;;
520;11;英雄争霸;2000/01/01 19:00:00;2000/01/01 21:00:00;6,0;;;;;;;;;;;;;;;;;;;;;;
521;11;英雄争霸;2000/01/01 19:00:00;2000/01/01 21:00:00;7,0;;;;;;;;;;;;;;;;;;;;;;
510;12;宝箱再开活动;2000/01/01 00:00:00;2017/01/31 23:59:59;8000;;;;;;;;;;;;;;;;;;;;;;
511;13;公会宝箱活动;2000/01/01 00:00:00;2000/01/01 24:00:00;1,2,3,4,5,6,7;;;;;;;;;;;;;;;;;;;;;;
512;14;2v2排位赛;2000/01/01 00:00:00;2000/01/01 04:00:00;0;;;;;;;;;;;;;;;;;;;;;;
513;14;2v2排位赛;2000/01/01 04:00:00;2000/01/01 24:00:00;0;;;;;;;;;;;;;;;;;;;;;;
514;15;宝箱再买活动;2017/06/07 00:00:00;2017/06/08 23:59:59;6000,10000;;;;;;;;;;;;;;;;;;;;;;
600;16;2V2战队赛;2018/1/01 00:00:00;2018/1/31 23:59:59;1;400;207:1;800;206:1;1100;205:1;1400;204:1;1700;203:1;2000;202:1;;;;;;;;;;
601;16;2V2战队赛;2018/2/01 00:00:00;2018/2/28 23:59:59;1;400;207:1;800;206:1;1100;205:1;1400;204:1;1700;203:1;2000;202:1;;;;;;;;;;
602;16;2V2战队赛;2018/3/01 00:00:00;2018/3/31 23:59:59;1;400;207:1;800;206:1;1100;205:1;1400;204:1;1700;203:1;2000;202:1;;;;;;;;;;
603;16;2V2战队赛;2018/4/01 00:00:00;2018/4/30 23:59:59;1;400;207:1;800;206:1;1100;205:1;1400;204:1;1700;203:1;2000;202:1;;;;;;;;;;
